email_id,intent,Fluency,Relevance,Completeness,Tone,Overall,annotator
0,general,5,5,5,5,5,Mani Teja Padala
1,shipping,5,5,5,5,5,Mani Teja Padala
2,billing,5,5,5,5,5,Mani Teja Padala
3,refund,4,4,4,4,4,Mani Teja Padala
4,billing,3,3,3,3,3,Mani Teja Padala
5,general,2,2,2,2,2,Mani Teja Padala
6,technical,1,1,1,1,1,Mani Teja Padala
7,shipping,1,2,3,4,5,Mani Teja Padala
8,refund,5,4,3,2,1,Mani Teja Padala
9,shipping,2,2,3,3,4,Mani Teja Padala
10,shipping,5,4,4,3,3,Mani Teja Padala
11,billing,5,2,5,2,5,Mani Teja Padala
12,billing,4,5,4,5,4,Mani Teja Padala
13,shipping,3,5,3,5,3,Mani Teja Padala
14,technical,5,5,5,5,5,Mani Teja Padala
15,billing,4,4,4,4,4,Mani Teja Padala
16,refund,5,5,5,5,5,Mani Teja Padala
17,account,4,5,4,5,4,Mani Teja Padala
18,shipping,4,4,4,4,4,Mani Teja Padala
19,refund,5,5,5,5,5,Mani Teja Padala
20,technical,5,5,5,5,5,Mani Teja Padala
21,account,3,3,3,3,3,Mani Teja Padala
22,account,5,5,5,5,5,Mani Teja Padala
23,technical,4,4,4,4,4,Mani Teja Padala
24,billing,5,5,5,5,5,Mani Teja Padala
25,technical,4,5,4,5,4,Mani Teja Padala
26,account,5,5,5,5,5,Mani Teja Padala
27,refund,5,5,5,5,5,Mani Teja Padala
28,technical,5,5,5,5,5,Mani Teja Padala
29,refund,5,5,5,5,5,Mani Teja Padala
