email_id,intent,Fluency,Relevance,Completeness,Tone,Overall,annotator
0,general,5,5,5,5,5,suhas venkat
1,shipping,5,5,5,5,5,suhas venkat
2,billing,5,3,5,5,5,suhas venkat
3,refund,5,5,5,5,5,suhas venkat
4,billing,5,4,3,5,5,suhas venkat
5,general,5,5,5,5,5,suhas venkat
6,technical,5,5,5,5,5,suhas venkat
7,shipping,5,5,5,5,5,suhas venkat
8,refund,5,5,5,5,5,suhas venkat
9,shipping,5,5,5,5,5,suhas venkat
10,shipping,4,4,5,4,4,suhas venkat
11,billing,5,5,5,5,5,suhas venkat
12,billing,5,5,5,5,5,suhas venkat
13,shipping,5,5,5,5,5,suhas venkat
14,technical,5,5,5,5,5,suhas venkat
15,billing,5,3,3,3,3,suhas venkat
16,refund,3,3,3,3,3,suhas venkat
17,account,5,5,5,5,5,suhas venkat
18,shipping,4,3,3,3,3,suhas venkat
19,refund,3,3,3,3,3,suhas venkat
20,technical,5,5,5,5,5,suhas venkat
21,account,5,5,5,5,5,suhas venkat
22,account,5,5,5,5,5,suhas venkat
23,technical,5,5,5,5,5,suhas venkat
24,billing,5,5,5,5,5,suhas venkat
25,technical,5,5,5,5,5,suhas venkat
26,account,5,5,5,5,5,suhas venkat
27,refund,5,3,3,3,4,suhas venkat
28,technical,5,5,5,5,5,suhas venkat
29,refund,5,5,5,5,5,suhas venkat
