Vector Store,Chunk Size,Top-k,Faithfulness,Relevancy,Context Precision,Hallucination Rate
FAISS,128,1,0.76,0.75,0.7,9%
FAISS,128,3,0.8,0.79,0.78,8%
FAISS,128,5,0.82,0.79,0.79,7%
FAISS,128,7,0.79,0.76,0.73,7%
FAISS,256,1,0.8,0.79,0.74,8%
FAISS,256,3,0.82,0.79,0.76,7%
FAISS,256,5,0.84,0.82,0.8,8%
FAISS,256,7,0.84,0.82,0.82,7%
FAISS,512,1,0.74,0.72,0.7,10%
FAISS,512,3,0.77,0.75,0.72,7%
FAISS,512,5,0.79,0.77,0.74,7%
FAISS,512,7,0.77,0.74,0.72,9%
ChromaDB,128,1,0.8,0.76,0.77,7%
ChromaDB,128,3,0.84,0.81,0.81,6%
ChromaDB,128,5,0.87,0.85,0.83,7%
ChromaDB,128,7,0.84,0.82,0.8,6%
ChromaDB,256,1,0.82,0.79,0.79,6%
ChromaDB,256,3,0.87,0.84,0.82,6%
ChromaDB,256,5,0.88,0.84,0.85,7%
ChromaDB,256,7,0.86,0.82,0.81,7%
ChromaDB,512,1,0.78,0.75,0.73,8%
ChromaDB,512,3,0.82,0.81,0.78,8%
ChromaDB,512,5,0.84,0.8,0.8,7%
ChromaDB,512,7,0.83,0.81,0.79,7%
